epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.35565,1.44446,0.69502,0.99793,0.85004,0.000327044,0.000327044,0.000327044
2,3.27339,0.69706,0.8112,1,0.52899,0.00065384,0.00065384,0.00065384
3,4.18197,0.52755,0.81743,0.99793,0.49619,0.000974035,0.000974035,0.000974035
4,5.05804,0.4447,0.84025,0.99793,0.43329,0.0009703,0.0009703,0.0009703
5,5.93256,0.38939,0.80498,0.99585,0.59277,0.0009604,0.0009604,0.0009604
6,6.98852,0.32619,0.86307,0.99793,0.44516,0.0009505,0.0009505,0.0009505
7,7.8411,0.24726,0.88589,0.99793,0.41154,0.0009406,0.0009406,0.0009406
8,8.71155,0.22211,0.88589,0.99793,0.36476,0.0009307,0.0009307,0.0009307
9,9.65275,0.2134,0.88174,1,0.37585,0.0009208,0.0009208,0.0009208
10,10.5494,0.25732,0.87967,0.99585,0.40744,0.0009109,0.0009109,0.0009109
11,11.6595,0.16781,0.86929,0.99793,0.44464,0.000901,0.000901,0.000901
12,12.5358,0.19786,0.89834,0.99793,0.31565,0.0008911,0.0008911,0.0008911
13,13.5027,0.15212,0.87344,0.99793,0.40582,0.0008812,0.0008812,0.0008812
14,14.3415,0.14933,0.88797,0.99793,0.41386,0.0008713,0.0008713,0.0008713
15,15.2509,0.12255,0.89627,0.9917,0.40741,0.0008614,0.0008614,0.0008614
16,16.1775,0.10862,0.87552,0.99585,0.45009,0.0008515,0.0008515,0.0008515
17,17.1594,0.10681,0.89419,0.99793,0.37555,0.0008416,0.0008416,0.0008416
18,18.3005,0.11433,0.89419,1,0.35528,0.0008317,0.0008317,0.0008317
19,19.1418,0.10146,0.90249,0.99585,0.36318,0.0008218,0.0008218,0.0008218
20,20.1304,0.10397,0.89419,0.99793,0.36911,0.0008119,0.0008119,0.0008119
21,21.0596,0.10399,0.88797,0.99585,0.43213,0.000802,0.000802,0.000802
22,22.0355,0.09973,0.87967,0.99585,0.50735,0.0007921,0.0007921,0.0007921
23,22.8684,0.11613,0.89004,0.99378,0.4523,0.0007822,0.0007822,0.0007822
24,23.8322,0.07913,0.90041,0.99793,0.42639,0.0007723,0.0007723,0.0007723
25,24.6821,0.07081,0.89627,0.99585,0.43291,0.0007624,0.0007624,0.0007624
26,25.62,0.08407,0.90871,0.99585,0.39082,0.0007525,0.0007525,0.0007525
27,26.4909,0.06982,0.89212,1,0.41982,0.0007426,0.0007426,0.0007426
28,27.4284,0.10156,0.91079,0.99793,0.42022,0.0007327,0.0007327,0.0007327
29,28.4374,0.06919,0.91079,1,0.3649,0.0007228,0.0007228,0.0007228
30,29.3486,0.0789,0.90664,1,0.40756,0.0007129,0.0007129,0.0007129
31,30.1988,0.06471,0.89212,0.99585,0.5231,0.000703,0.000703,0.000703
32,31.0796,0.08132,0.89627,1,0.49187,0.0006931,0.0006931,0.0006931
33,31.9131,0.05987,0.88382,0.99793,0.46461,0.0006832,0.0006832,0.0006832
34,32.929,0.05996,0.91494,0.99793,0.32901,0.0006733,0.0006733,0.0006733
35,33.7731,0.05265,0.90249,0.99793,0.40558,0.0006634,0.0006634,0.0006634
36,34.7565,0.07453,0.91494,1,0.37047,0.0006535,0.0006535,0.0006535
37,35.7265,0.06683,0.90871,0.99793,0.44696,0.0006436,0.0006436,0.0006436
38,36.5627,0.05272,0.91286,0.99793,0.45039,0.0006337,0.0006337,0.0006337
39,37.5286,0.06314,0.90664,0.99793,0.39737,0.0006238,0.0006238,0.0006238
40,38.4436,0.05225,0.90249,1,0.40237,0.0006139,0.0006139,0.0006139
41,39.3015,0.04943,0.92116,0.99793,0.34944,0.000604,0.000604,0.000604
42,40.1956,0.06059,0.89419,0.99585,0.43683,0.0005941,0.0005941,0.0005941
43,41.1286,0.06128,0.91079,1,0.40468,0.0005842,0.0005842,0.0005842
44,41.9746,0.04803,0.91494,0.99793,0.36327,0.0005743,0.0005743,0.0005743
45,42.9176,0.05671,0.89627,0.99585,0.45326,0.0005644,0.0005644,0.0005644
46,43.8398,0.04393,0.91286,0.99793,0.40671,0.0005545,0.0005545,0.0005545
47,44.8614,0.04329,0.90871,0.99793,0.4454,0.0005446,0.0005446,0.0005446
48,45.7378,0.03409,0.90456,0.99585,0.41441,0.0005347,0.0005347,0.0005347
49,46.6067,0.05521,0.91494,0.99793,0.36826,0.0005248,0.0005248,0.0005248
50,47.4878,0.0429,0.91286,0.99793,0.37561,0.0005149,0.0005149,0.0005149
51,48.3524,0.03507,0.92324,0.99793,0.36602,0.000505,0.000505,0.000505
52,49.3912,0.03868,0.91079,0.99793,0.36394,0.0004951,0.0004951,0.0004951
53,50.2694,0.05398,0.91079,0.99793,0.38644,0.0004852,0.0004852,0.0004852
54,51.371,0.04115,0.90664,0.99793,0.37956,0.0004753,0.0004753,0.0004753
55,52.3518,0.03983,0.91701,0.99793,0.38261,0.0004654,0.0004654,0.0004654
56,53.3659,0.02852,0.91701,0.99793,0.36961,0.0004555,0.0004555,0.0004555
57,54.2647,0.02982,0.92324,0.99793,0.38399,0.0004456,0.0004456,0.0004456
58,55.1502,0.02803,0.90664,0.99793,0.38733,0.0004357,0.0004357,0.0004357
59,56.0831,0.02529,0.91494,0.99793,0.36266,0.0004258,0.0004258,0.0004258
60,56.968,0.02996,0.89627,0.99585,0.44853,0.0004159,0.0004159,0.0004159
61,57.833,0.0403,0.89627,0.99585,0.38154,0.000406,0.000406,0.000406
62,58.713,0.02159,0.90871,0.99793,0.4025,0.0003961,0.0003961,0.0003961
63,59.6336,0.03182,0.90871,0.99793,0.40036,0.0003862,0.0003862,0.0003862
64,60.5173,0.02891,0.91286,0.99793,0.38957,0.0003763,0.0003763,0.0003763
65,61.5346,0.02573,0.91286,0.99793,0.38718,0.0003664,0.0003664,0.0003664
