epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.8798,1.46766,0.71457,0.98819,0.79871,0.000328125,0.000328125,0.000328125
2,25.404,0.7512,0.84055,1,0.5032,0.000648361,0.000648361,0.000648361
3,33.1502,0.55795,0.80315,0.99803,0.50828,0.000955398,0.000955398,0.000955398
4,40.8344,0.49017,0.85039,1,0.4637,0.0009406,0.0009406,0.0009406
5,48.6503,0.41739,0.8878,1,0.33514,0.0009208,0.0009208,0.0009208
6,56.7495,0.3109,0.88189,1,0.3716,0.000901,0.000901,0.000901
7,64.9392,0.28913,0.8622,1,0.42207,0.0008812,0.0008812,0.0008812
8,73.1348,0.29177,0.90551,1,0.30707,0.0008614,0.0008614,0.0008614
9,81.3297,0.2436,0.89567,0.99606,0.34035,0.0008416,0.0008416,0.0008416
10,89.4568,0.23606,0.8937,0.99803,0.36935,0.0008218,0.0008218,0.0008218
11,97.4787,0.21057,0.91929,1,0.27099,0.000802,0.000802,0.000802
12,105.572,0.20278,0.90551,0.99803,0.3295,0.0007822,0.0007822,0.0007822
13,113.718,0.17884,0.90551,0.99803,0.33568,0.0007624,0.0007624,0.0007624
14,121.743,0.17035,0.8878,1,0.39978,0.0007426,0.0007426,0.0007426
15,129.593,0.13619,0.86811,0.99803,0.43295,0.0007228,0.0007228,0.0007228
16,137.527,0.14212,0.91929,0.99803,0.30227,0.000703,0.000703,0.000703
17,145.505,0.13301,0.8937,1,0.36668,0.0006832,0.0006832,0.0006832
18,153.5,0.14813,0.90551,0.99803,0.33526,0.0006634,0.0006634,0.0006634
19,161.359,0.14516,0.91732,0.99803,0.32032,0.0006436,0.0006436,0.0006436
20,169.322,0.11281,0.90748,0.99803,0.32323,0.0006238,0.0006238,0.0006238
21,177.299,0.11968,0.92126,0.99803,0.25698,0.000604,0.000604,0.000604
22,185.184,0.1288,0.93898,1,0.23279,0.0005842,0.0005842,0.0005842
23,193.112,0.1223,0.90354,1,0.34185,0.0005644,0.0005644,0.0005644
24,201.037,0.10488,0.92323,0.99803,0.2997,0.0005446,0.0005446,0.0005446
25,208.996,0.09298,0.9252,0.99803,0.27913,0.0005248,0.0005248,0.0005248
26,216.968,0.08484,0.91929,0.99606,0.28749,0.000505,0.000505,0.000505
27,224.93,0.08814,0.91732,0.99803,0.31234,0.0004852,0.0004852,0.0004852
28,232.905,0.10829,0.91929,1,0.28347,0.0004654,0.0004654,0.0004654
29,240.914,0.10368,0.93307,0.99803,0.28768,0.0004456,0.0004456,0.0004456
30,248.901,0.10031,0.92717,0.99803,0.24793,0.0004258,0.0004258,0.0004258
31,256.845,0.08176,0.92126,0.99803,0.29852,0.000406,0.000406,0.000406
32,264.829,0.06984,0.91929,0.99606,0.2901,0.0003862,0.0003862,0.0003862
33,272.811,0.07718,0.9252,1,0.26533,0.0003664,0.0003664,0.0003664
34,280.799,0.06887,0.92323,1,0.29405,0.0003466,0.0003466,0.0003466
35,288.733,0.08183,0.92126,0.99803,0.27269,0.0003268,0.0003268,0.0003268
36,296.756,0.06262,0.92323,1,0.30658,0.000307,0.000307,0.000307
37,304.771,0.06153,0.92126,1,0.25449,0.0002872,0.0002872,0.0002872
38,312.754,0.06162,0.9311,1,0.24507,0.0002674,0.0002674,0.0002674
39,320.709,0.04473,0.92913,1,0.27376,0.0002476,0.0002476,0.0002476
40,328.674,0.04622,0.93701,1,0.26228,0.0002278,0.0002278,0.0002278
41,336.672,0.05796,0.9311,1,0.27803,0.000208,0.000208,0.000208
42,344.648,0.07436,0.92323,1,0.27186,0.0001882,0.0001882,0.0001882
43,352.58,0.06229,0.93504,1,0.26437,0.0001684,0.0001684,0.0001684
44,360.557,0.04097,0.93701,1,0.26201,0.0001486,0.0001486,0.0001486
45,368.562,0.05748,0.94882,0.99803,0.2548,0.0001288,0.0001288,0.0001288
46,376.547,0.046,0.93504,0.99803,0.27331,0.000109,0.000109,0.000109
47,384.488,0.07794,0.93898,1,0.26577,8.92e-05,8.92e-05,8.92e-05
48,392.56,0.03942,0.93701,1,0.25309,6.94e-05,6.94e-05,6.94e-05
49,400.818,0.04611,0.93898,1,0.25427,4.96e-05,4.96e-05,4.96e-05
50,408.994,0.03562,0.93701,1,0.256,2.98e-05,2.98e-05,2.98e-05
