epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.79578,1.79439,0.38153,0.9338,1.62652,0.000984127,0.000328042,0.000984127,0.000328042,0.000984127,0.000328042,0.000984127,0.000328042
2,3.1328,1.50467,0.58014,0.95993,1.27496,0.00196448,0.000654828,0.00196448,0.000654828,0.00196448,0.000654828,0.00196448,0.000654828
3,4.28691,1.19281,0.66376,0.97561,0.93056,0.00292504,0.000975014,0.00292504,0.000975014,0.00292504,0.000975014,0.00292504,0.000975014
4,5.42768,0.91365,0.74042,0.9878,0.7392,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,6.60343,0.76164,0.78049,0.99477,0.63965,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,7.75123,0.66781,0.79443,0.99477,0.59502,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,8.88691,0.58807,0.82927,0.99652,0.55916,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,10.0484,0.54502,0.81882,0.99477,0.53082,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,11.1934,0.52152,0.83275,0.99477,0.50936,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,12.3358,0.49311,0.83624,0.99477,0.48579,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,13.4758,0.43658,0.83449,0.99652,0.48031,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,14.6339,0.42035,0.84146,0.99652,0.46688,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,15.7853,0.39147,0.84843,0.99652,0.45833,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,16.9045,0.3596,0.84321,0.99477,0.44938,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,18.0711,0.3375,0.85714,0.99477,0.43207,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,19.2058,0.33434,0.85366,0.99477,0.43319,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,20.3742,0.3102,0.84321,0.99477,0.42251,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,21.5473,0.29404,0.84669,0.99652,0.42489,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,22.6841,0.2797,0.85714,0.99652,0.42738,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,23.8141,0.27821,0.8554,0.99477,0.41781,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,24.9561,0.26164,0.85192,0.99477,0.41007,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,26.0776,0.24032,0.86063,0.99477,0.40202,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,27.251,0.23209,0.86237,0.99477,0.40481,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,28.6597,0.21114,0.85888,0.99477,0.4015,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,29.812,0.23046,0.8554,0.99477,0.39789,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,30.9281,0.2071,0.87456,0.99477,0.39425,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,32.1315,0.21156,0.8676,0.99477,0.3983,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,33.2472,0.1832,0.87282,0.99477,0.40634,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,34.4144,0.19751,0.87979,0.99652,0.39383,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,35.531,0.1857,0.87805,0.99477,0.38791,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,36.7346,0.19554,0.86411,0.99477,0.39229,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,37.8555,0.18766,0.87282,0.99652,0.37958,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,39.0151,0.17025,0.87979,0.99477,0.3796,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
