epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.59702,1.47673,0.67247,0.98432,0.89572,0.000328042,0.000328042,0.000328042
2,3.92024,0.79615,0.78049,0.99303,0.62595,0.000654828,0.000654828,0.000654828
3,4.89699,0.63045,0.79965,0.99826,0.59836,0.000975014,0.000975014,0.000975014
4,5.84923,0.52526,0.79965,0.99826,0.64676,0.0009703,0.0009703,0.0009703
5,6.71933,0.4571,0.81185,0.99303,0.55433,0.0009604,0.0009604,0.0009604
6,7.59985,0.41177,0.84669,0.99826,0.49696,0.0009505,0.0009505,0.0009505
7,8.5755,0.32228,0.84146,0.99826,0.48888,0.0009406,0.0009406,0.0009406
8,9.64982,0.28261,0.84495,0.99652,0.47285,0.0009307,0.0009307,0.0009307
9,10.5889,0.26366,0.85888,0.99477,0.43389,0.0009208,0.0009208,0.0009208
10,11.4478,0.27422,0.84321,0.99826,0.50909,0.0009109,0.0009109,0.0009109
11,12.5439,0.22876,0.86411,0.99652,0.43791,0.000901,0.000901,0.000901
12,13.3785,0.21848,0.87456,0.99826,0.40251,0.0008911,0.0008911,0.0008911
13,14.3622,0.19309,0.88328,0.99652,0.39178,0.0008812,0.0008812,0.0008812
14,15.257,0.17099,0.87282,0.99826,0.39551,0.0008713,0.0008713,0.0008713
15,16.2153,0.15467,0.87456,0.99826,0.39705,0.0008614,0.0008614,0.0008614
16,17.2525,0.1485,0.88502,0.99826,0.38218,0.0008515,0.0008515,0.0008515
17,18.1116,0.15977,0.88153,0.99826,0.41672,0.0008416,0.0008416,0.0008416
18,19.1062,0.14824,0.87108,0.99477,0.52334,0.0008317,0.0008317,0.0008317
19,20.3039,0.14031,0.8676,0.99652,0.47987,0.0008218,0.0008218,0.0008218
20,21.1545,0.12691,0.88676,0.99652,0.44784,0.0008119,0.0008119,0.0008119
21,22.1505,0.1093,0.8885,1,0.39084,0.000802,0.000802,0.000802
22,23.0354,0.10458,0.87108,0.99826,0.46213,0.0007921,0.0007921,0.0007921
23,23.9192,0.11901,0.8885,0.99826,0.39429,0.0007822,0.0007822,0.0007822
24,24.9521,0.10302,0.8885,1,0.38439,0.0007723,0.0007723,0.0007723
25,25.7998,0.12044,0.85714,0.99826,0.51577,0.0007624,0.0007624,0.0007624
26,27.1106,0.09982,0.84669,0.99826,0.58409,0.0007525,0.0007525,0.0007525
27,28.1339,0.12575,0.88153,0.99826,0.42231,0.0007426,0.0007426,0.0007426
28,29.1658,0.09823,0.9007,1,0.3506,0.0007327,0.0007327,0.0007327
29,30.2543,0.09266,0.89024,1,0.38284,0.0007228,0.0007228,0.0007228
30,31.2074,0.11939,0.88328,0.99652,0.47366,0.0007129,0.0007129,0.0007129
31,32.0633,0.10437,0.89547,1,0.41644,0.000703,0.000703,0.000703
32,33.0441,0.1057,0.88676,0.99826,0.43726,0.0006931,0.0006931,0.0006931
33,33.9262,0.08998,0.89199,0.99826,0.40649,0.0006832,0.0006832,0.0006832
34,34.8445,0.08615,0.89547,0.99652,0.46524,0.0006733,0.0006733,0.0006733
35,35.7532,0.08347,0.88676,1,0.42997,0.0006634,0.0006634,0.0006634
36,36.7474,0.06802,0.89547,1,0.40729,0.0006535,0.0006535,0.0006535
37,37.629,0.06443,0.89199,0.99826,0.42996,0.0006436,0.0006436,0.0006436
38,38.5968,0.06389,0.89373,1,0.44469,0.0006337,0.0006337,0.0006337
39,39.5374,0.08279,0.89199,1,0.43256,0.0006238,0.0006238,0.0006238
40,40.6343,0.07665,0.88328,0.99826,0.46813,0.0006139,0.0006139,0.0006139
41,41.5477,0.06883,0.87805,0.99826,0.49284,0.000604,0.000604,0.000604
42,42.5357,0.06764,0.89024,0.99826,0.44667,0.0005941,0.0005941,0.0005941
43,43.5574,0.06617,0.89721,0.99826,0.44394,0.0005842,0.0005842,0.0005842
44,44.5371,0.06938,0.89373,0.99826,0.36024,0.0005743,0.0005743,0.0005743
45,45.4142,0.06484,0.89721,1,0.45955,0.0005644,0.0005644,0.0005644
46,46.5481,0.06677,0.89895,0.99652,0.426,0.0005545,0.0005545,0.0005545
47,47.4394,0.06357,0.89547,1,0.41825,0.0005446,0.0005446,0.0005446
48,48.3561,0.05104,0.90941,1,0.37147,0.0005347,0.0005347,0.0005347
49,49.4354,0.06707,0.89721,0.99826,0.41801,0.0005248,0.0005248,0.0005248
50,50.3808,0.05056,0.90244,0.99826,0.41709,0.0005149,0.0005149,0.0005149
51,51.3658,0.06989,0.90592,0.99826,0.42558,0.000505,0.000505,0.000505
52,52.4094,0.06895,0.89199,1,0.47702,0.0004951,0.0004951,0.0004951
53,53.3659,0.05802,0.89721,0.99652,0.427,0.0004852,0.0004852,0.0004852
54,54.4142,0.06201,0.88676,0.99826,0.43429,0.0004753,0.0004753,0.0004753
55,55.5184,0.05825,0.89373,0.99826,0.46334,0.0004654,0.0004654,0.0004654
56,56.5478,0.04871,0.89373,0.99826,0.43233,0.0004555,0.0004555,0.0004555
57,57.3972,0.04114,0.89547,0.99826,0.4362,0.0004456,0.0004456,0.0004456
58,58.4338,0.0428,0.89721,0.99826,0.40719,0.0004357,0.0004357,0.0004357
59,59.3131,0.05108,0.9007,0.99826,0.39489,0.0004258,0.0004258,0.0004258
60,60.3229,0.04428,0.8885,0.99826,0.37644,0.0004159,0.0004159,0.0004159
61,61.3659,0.03727,0.89721,0.99826,0.39243,0.000406,0.000406,0.000406
62,62.2104,0.03124,0.9007,0.99652,0.39098,0.0003961,0.0003961,0.0003961
63,63.1703,0.04153,0.90592,0.99652,0.36001,0.0003862,0.0003862,0.0003862
64,64.1466,0.04076,0.90767,0.99826,0.33659,0.0003763,0.0003763,0.0003763
65,65.0646,0.03311,0.91463,0.99826,0.37212,0.0003664,0.0003664,0.0003664
66,65.9344,0.04435,0.90941,0.99652,0.37431,0.0003565,0.0003565,0.0003565
67,66.8506,0.03932,0.91289,1,0.35561,0.0003466,0.0003466,0.0003466
68,67.7799,0.03947,0.91463,1,0.3565,0.0003367,0.0003367,0.0003367
69,68.6432,0.0338,0.91638,0.99826,0.35405,0.0003268,0.0003268,0.0003268
70,69.9175,0.04073,0.90592,0.99652,0.37748,0.0003169,0.0003169,0.0003169
71,70.7992,0.03044,0.91115,0.99826,0.34528,0.000307,0.000307,0.000307
72,71.754,0.04088,0.90941,0.99826,0.34975,0.0002971,0.0002971,0.0002971
73,72.6869,0.04102,0.90592,0.99652,0.36229,0.0002872,0.0002872,0.0002872
74,73.7809,0.03516,0.91115,0.99652,0.35547,0.0002773,0.0002773,0.0002773
75,74.635,0.04183,0.91289,0.99652,0.33484,0.0002674,0.0002674,0.0002674
76,75.5577,0.03442,0.91289,0.99826,0.32743,0.0002575,0.0002575,0.0002575
77,76.509,0.03597,0.90767,0.99826,0.35137,0.0002476,0.0002476,0.0002476
78,77.6875,0.03105,0.91812,0.99826,0.34593,0.0002377,0.0002377,0.0002377
79,78.623,0.02795,0.91638,1,0.32119,0.0002278,0.0002278,0.0002278
80,79.4875,0.03211,0.90418,1,0.32724,0.0002179,0.0002179,0.0002179
81,80.5972,0.03189,0.91289,1,0.34174,0.000208,0.000208,0.000208
82,81.5952,0.02334,0.91638,1,0.34798,0.0001981,0.0001981,0.0001981
83,82.4454,0.03319,0.91463,1,0.33078,0.0001882,0.0001882,0.0001882
84,83.3969,0.02631,0.90941,1,0.34339,0.0001783,0.0001783,0.0001783
85,84.3334,0.02245,0.90941,0.99826,0.34874,0.0001684,0.0001684,0.0001684
86,85.4584,0.02225,0.91289,0.99826,0.34984,0.0001585,0.0001585,0.0001585
87,86.4756,0.02335,0.91289,0.99826,0.33869,0.0001486,0.0001486,0.0001486
88,87.3698,0.02292,0.90592,1,0.35039,0.0001387,0.0001387,0.0001387
89,88.4175,0.02177,0.91463,0.99826,0.33613,0.0001288,0.0001288,0.0001288
90,89.2922,0.01843,0.90941,0.99826,0.33279,0.0001189,0.0001189,0.0001189
91,90.8458,0.02061,0.90767,0.99826,0.33275,0.000109,0.000109,0.000109
92,91.7383,0.0309,0.91812,0.99652,0.32888,9.91e-05,9.91e-05,9.91e-05
93,92.7194,0.02567,0.91463,0.99826,0.31826,8.92e-05,8.92e-05,8.92e-05
94,93.675,0.018,0.91115,0.99826,0.31919,7.93e-05,7.93e-05,7.93e-05
95,94.5284,0.01791,0.91812,0.99826,0.31773,6.94e-05,6.94e-05,6.94e-05
96,95.4582,0.02436,0.91463,0.99826,0.31493,5.95e-05,5.95e-05,5.95e-05
97,96.3411,0.01782,0.91638,0.99826,0.31347,4.96e-05,4.96e-05,4.96e-05
98,97.207,0.02083,0.91638,0.99826,0.30949,3.97e-05,3.97e-05,3.97e-05
99,98.1397,0.02295,0.91463,0.99826,0.30086,2.98e-05,2.98e-05,2.98e-05
100,99.1195,0.02648,0.91638,0.99652,0.30901,1.99e-05,1.99e-05,1.99e-05
